"Series Description","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ "
"Unit:","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1"
"Currency:","CNY","HKD"
"Unique Identifier: ","H10/H10/RXI_N.B.CH","H10/H10/RXI_N.B.HK"
"Time Period","RXI_N.B.CH","RXI_N.B.HK"
2005-10-27,8.0862,7.7535
2005-10-28,8.0840,7.7529
2005-10-31,8.0845,7.7519
2005-11-01,8.0860,7.7514
2005-11-02,8.0851,7.7526
2005-11-03,8.0841,7.7524
2005-11-04,8.0856,7.7523
2005-11-07,8.0877,7.7521
2005-11-08,8.0867,7.7539
2005-11-09,8.0857,7.7570
2005-11-10,8.0847,7.7553
2005-11-11,ND,ND
2005-11-14,8.0856,7.7559
2005-11-15,8.0845,7.7555
2005-11-16,8.0835,7.7555
2005-11-17,8.0845,7.7535
2005-11-18,8.0832,7.7527
2005-11-21,8.0833,7.7534
2005-11-22,8.0839,7.7532
2005-11-23,8.0816,7.7522
2005-11-24,ND,ND
2005-11-25,8.0815,7.7540
2005-11-28,8.0825,7.7536
2005-11-29,8.0796,7.7539
2005-11-30,8.0804,7.7546
2005-12-01,8.0798,7.7548
2005-12-02,8.0806,7.7544
2005-12-05,8.0808,7.7534
2005-12-06,8.0780,7.7540
2005-12-07,8.0771,7.7540
2005-12-08,8.0780,7.7539
2005-12-09,8.0765,7.7541
2005-12-12,8.0770,7.7534
2005-12-13,8.0751,7.7532
2005-12-14,8.0726,7.7528
2005-12-15,8.0740,7.7526
2005-12-16,8.0735,7.7518
2005-12-19,8.0730,7.7516
2005-12-20,8.0740,7.7518
2005-12-21,8.0765,7.7520
2005-12-22,8.0775,7.7523
2005-12-23,8.0762,7.7525
2005-12-26,ND,ND
2005-12-27,8.0724,7.7528
2005-12-28,8.0725,7.7525
2005-12-29,8.0709,7.7531
2005-12-30,8.0702,7.7533
2006-01-02,ND,ND
2006-01-03,8.0702,7.7535
2006-01-04,8.0702,7.7533
2006-01-05,8.0678,7.7534
2006-01-06,8.0663,7.7531
2006-01-09,8.0665,7.7507
2006-01-10,8.0610,7.7506
2006-01-11,8.0682,7.7509
2006-01-12,8.0685,7.7511
2006-01-13,8.0698,7.7513
2006-01-16,ND,ND
2006-01-17,8.0676,7.7535
2006-01-18,8.0685,7.7533
2006-01-19,8.0687,7.7535
2006-01-20,8.0596,7.7545
2006-01-23,8.0645,7.7541
2006-01-24,8.0625,7.7554
2006-01-25,8.0630,7.7566
2006-01-26,8.0620,7.7561
2006-01-27,8.0608,7.7565
2006-01-30,8.0608,7.7571
2006-01-31,8.0608,7.7561
2006-02-01,8.0616,7.7569
2006-02-02,8.0616,7.7564
2006-02-03,8.0616,7.7570
2006-02-06,8.0560,7.7579
2006-02-07,8.0566,7.7590
2006-02-08,8.0545,7.7618
2006-02-09,8.0558,7.7613
2006-02-10,8.0516,7.7590
2006-02-13,8.0472,7.7594
2006-02-14,8.0477,7.7604
2006-02-15,8.0481,7.7612
2006-02-16,8.0494,7.7603
2006-02-17,8.0493,7.7604
2006-02-20,ND,ND
2006-02-21,8.0485,7.7610
2006-02-22,8.0497,7.7611
2006-02-23,8.0477,7.7587
2006-02-24,8.0432,7.7580
2006-02-27,8.0420,7.7580
2006-02-28,8.0415,7.7584
2006-03-01,8.0390,7.7574
2006-03-02,8.0394,7.7574
2006-03-03,8.0380,7.7587
2006-03-06,8.0382,7.7587
2006-03-07,8.0425,7.7607
2006-03-08,8.0476,7.7609
2006-03-09,8.0480,7.7608
2006-03-10,8.0492,7.7620
2006-03-13,8.0505,7.7590
2006-03-14,8.0473,7.7578
2006-03-15,8.0374,7.7583
2006-03-16,8.0385,7.7570
2006-03-17,8.0286,7.7573
2006-03-20,8.0250,7.7585
2006-03-21,8.0272,7.7594
2006-03-22,8.0306,7.7599
2006-03-23,8.0274,7.7591
2006-03-24,8.0338,7.7591
2006-03-27,8.0245,7.7590
2006-03-28,8.0212,7.7590
2006-03-29,8.0280,7.7598
2006-03-30,8.0270,7.7595
2006-03-31,8.0167,7.7597
2006-04-03,8.0210,7.7598
2006-04-04,8.0194,7.7591
2006-04-05,8.0116,7.7589
2006-04-06,8.0098,7.7579
2006-04-07,8.0130,7.7557
2006-04-10,8.0040,7.7564
2006-04-11,8.0045,7.7589
2006-04-12,8.0115,7.7582
2006-04-13,8.0248,7.7575
2006-04-14,8.0175,7.7569
2006-04-17,8.0158,7.7565
2006-04-18,8.0140,7.7556
2006-04-19,8.0128,7.7539
2006-04-20,8.0110,7.7544
2006-04-21,8.0165,7.7542
2006-04-24,8.0163,7.7530
2006-04-25,8.0100,7.7537
2006-04-26,8.0163,7.7548
2006-04-27,8.0205,7.7544
2006-04-28,8.0165,7.7529
2006-05-01,8.0165,7.7527
2006-05-02,8.0165,7.7536
2006-05-03,8.0100,7.7526
2006-05-04,8.0114,7.7521
2006-05-05,8.0114,7.7518
2006-05-08,8.0070,7.7510
2006-05-09,8.0042,7.7517
2006-05-10,8.0032,7.7517
2006-05-11,8.0038,7.7526
2006-05-12,8.0056,7.7532
2006-05-15,8.0030,7.7531
2006-05-16,8.0005,7.7531
2006-05-17,8.0020,7.7534
2006-05-18,8.0095,7.7541
2006-05-19,8.0175,7.7554
2006-05-22,8.0255,7.7537
2006-05-23,8.0235,7.7553
2006-05-24,8.0175,7.7559
2006-05-25,8.0235,7.7567
2006-05-26,8.0245,7.7562
2006-05-29,ND,ND
2006-05-30,8.0300,7.7575
2006-05-31,8.0215,7.7567
2006-06-01,8.0184,7.7578
2006-06-02,8.0225,7.7581
2006-06-05,8.0057,7.7586
2006-06-06,8.0120,7.7596
2006-06-07,8.0171,7.7617
2006-06-08,8.0084,7.7619
2006-06-09,8.0110,7.7611
2006-06-12,8.0150,7.7607
2006-06-13,8.0034,7.7624
2006-06-14,7.9985,7.7621
2006-06-15,7.9990,7.7617
2006-06-16,7.9995,7.7643
2006-06-19,8.0035,7.7660
2006-06-20,8.0009,7.7666
2006-06-21,7.9969,7.7665
2006-06-22,7.9963,7.7660
2006-06-23,7.9997,7.7684
2006-06-26,7.9995,7.7675
2006-06-27,7.9980,7.7661
2006-06-28,7.9970,7.7678
2006-06-29,7.9955,7.7675
2006-06-30,7.9943,7.7666
2006-07-03,7.9924,7.7670
2006-07-04,ND,ND
2006-07-05,7.9955,7.7715
2006-07-06,7.9945,7.7709
2006-07-07,7.9936,7.7682
2006-07-10,7.9908,7.7707
2006-07-11,7.9911,7.7730
2006-07-12,7.9892,7.7759
2006-07-13,7.9899,7.7754
2006-07-14,7.9956,7.7753
2006-07-17,7.9970,7.7751
2006-07-18,8.0016,7.7740
2006-07-19,8.0018,7.7756
2006-07-20,7.9918,7.7756
2006-07-21,7.9897,7.7754
2006-07-24,7.9851,7.7773
2006-07-25,7.9872,7.7775
2006-07-26,7.9849,7.7775
2006-07-27,7.9740,7.7717
2006-07-28,7.9792,7.7703
2006-07-31,7.9690,7.7703
2006-08-01,7.9730,7.7723
2006-08-02,7.9720,7.7735
2006-08-03,7.9748,7.7726
2006-08-04,7.9783,7.7742
2006-08-07,7.9680,7.7755
2006-08-08,7.9712,7.7760
2006-08-09,7.9745,7.7769
2006-08-10,7.9690,7.7768
2006-08-11,7.9725,7.7772
2006-08-14,7.9928,7.7785
2006-08-15,8.0000,7.7789
2006-08-16,7.9827,7.7768
2006-08-17,7.9685,7.7748
2006-08-18,7.9736,7.7732
2006-08-21,7.9698,7.7752
2006-08-22,7.9663,7.7764
2006-08-23,7.9698,7.7770
2006-08-24,7.9694,7.7766
2006-08-25,7.9690,7.7796
2006-08-28,7.9706,7.7790
2006-08-29,7.9615,7.7776
2006-08-30,7.9590,7.7774
2006-08-31,7.9538,7.7767
2006-09-01,7.9533,7.7780
2006-09-04,ND,ND
2006-09-05,7.9495,7.7776
2006-09-06,7.9470,7.7772
2006-09-07,7.9409,7.7767
2006-09-08,7.9485,7.7781
2006-09-11,7.9545,7.7785
2006-09-12,7.9464,7.7793
2006-09-13,7.9490,7.7808
2006-09-14,7.9462,7.7819
2006-09-15,7.9429,7.7825
2006-09-18,7.9465,7.7841
2006-09-19,7.9357,7.7862
2006-09-20,7.9264,7.7855
2006-09-21,7.9248,7.7834
2006-09-22,7.9195,7.7827
2006-09-25,7.9212,7.7837
2006-09-26,7.9135,7.7866
2006-09-27,7.9019,7.7878
2006-09-28,7.8965,7.7884
2006-09-29,7.9040,7.7913
2006-10-02,7.9040,7.7911
2006-10-03,7.9040,7.7907
2006-10-04,7.9040,7.7917
2006-10-05,7.9040,7.7865
2006-10-06,7.9040,7.7852
2006-10-09,ND,ND
2006-10-10,7.9100,7.7928
2006-10-11,7.9168,7.7927
2006-10-12,7.9143,7.7906
2006-10-13,7.9000,7.7889
2006-10-16,7.9120,7.7837
2006-10-17,7.9081,7.7802
2006-10-18,7.9066,7.7839
2006-10-19,7.9102,7.7875
2006-10-20,7.9028,7.7847
2006-10-23,7.8981,7.7815
2006-10-24,7.9023,7.7812
2006-10-25,7.9010,7.7818
2006-10-26,7.8949,7.7809
2006-10-27,7.8886,7.7751
2006-10-30,7.8728,7.7746
2006-10-31,7.8785,7.7780
2006-11-01,7.8714,7.7765
2006-11-02,7.8720,7.7762
2006-11-03,7.8715,7.7774
2006-11-06,7.8750,7.7818
2006-11-07,7.8720,7.7848
2006-11-08,7.8651,7.7838
2006-11-09,7.8645,7.7838
2006-11-10,7.8635,7.7824
2006-11-13,7.8642,7.7844
2006-11-14,7.8640,7.7842
2006-11-15,7.8677,7.7859
2006-11-16,7.8713,7.7856
2006-11-17,7.8717,7.7875
2006-11-20,7.8694,7.7864
2006-11-21,7.8683,7.7859
2006-11-22,7.8731,7.7864
2006-11-23,ND,ND
2006-11-24,7.8515,7.7759
2006-11-27,7.8426,7.7761
2006-11-28,7.8440,7.7753
2006-11-29,7.8303,7.7751
2006-11-30,7.8340,7.7779
2006-12-01,7.8350,7.7748
2006-12-04,7.8274,7.7722
2006-12-05,7.8217,7.7709
2006-12-06,7.8224,7.7700
2006-12-07,7.8226,7.7665
2006-12-08,7.8235,7.7736
2006-12-11,7.8340,7.7733
2006-12-12,7.8283,7.7731
2006-12-13,7.8265,7.7712
2006-12-14,7.8229,7.7708
2006-12-15,7.8265,7.7721
2006-12-18,7.8192,7.7725
2006-12-19,7.8243,7.7752
2006-12-20,7.8158,7.7743
2006-12-21,7.8160,7.7756
2006-12-22,7.8153,7.7771
2006-12-25,ND,ND
2006-12-26,7.8199,7.7787
2006-12-27,7.8215,7.7741
2006-12-28,7.8116,7.7719
2006-12-29,7.8041,7.7771
2007-01-01,ND,ND
2007-01-02,7.8051,7.7797
2007-01-03,7.8051,7.7867
2007-01-04,7.8090,7.7885
2007-01-05,7.8047,7.7908
2007-01-08,7.8127,7.7946
2007-01-09,7.8055,7.7974
2007-01-10,7.8075,7.7983
2007-01-11,7.7945,7.7977
2007-01-12,7.7984,7.7992
2007-01-15,ND,ND
2007-01-16,7.7900,7.8005
2007-01-17,7.7752,7.8039
2007-01-18,7.7705,7.8100
2007-01-19,7.7752,7.8072
2007-01-22,7.7759,7.7973
2007-01-23,7.7756,7.7998
2007-01-24,7.7705,7.8035
2007-01-25,7.7705,7.8063
2007-01-26,7.7748,7.8091
2007-01-29,7.7730,7.8112
2007-01-30,7.7750,7.8100
2007-01-31,7.7714,7.8078
2007-02-01,7.7575,7.8041
2007-02-02,7.7555,7.8068
2007-02-05,7.7602,7.8086
2007-02-06,7.7565,7.8090
2007-02-07,7.7474,7.8130
2007-02-08,7.7484,7.8141
2007-02-09,7.7476,7.8131
2007-02-12,7.7570,7.8136
2007-02-13,7.7632,7.8141
2007-02-14,7.7565,7.8133
2007-02-15,7.7545,7.8087
2007-02-16,7.7426,7.8124
2007-02-19,ND,ND
2007-02-20,7.7466,7.8141
2007-02-21,7.7426,7.8127
2007-02-22,7.7436,7.8112
2007-02-23,7.7416,7.8087
2007-02-26,7.7500,7.8127
2007-02-27,7.7416,7.8136
2007-02-28,7.7410,7.8119
2007-03-01,7.7435,7.8119
2007-03-02,7.7445,7.8146
2007-03-05,7.7415,7.8149
2007-03-06,7.7453,7.8151
2007-03-07,7.7430,7.8177
2007-03-08,7.7400,7.8129
2007-03-09,7.7445,7.8141
2007-03-12,7.7454,7.8143
2007-03-13,7.7410,7.8154
2007-03-14,7.7370,7.8148
2007-03-15,7.7430,7.8116
2007-03-16,7.7280,7.8108
2007-03-19,7.7355,7.8124
2007-03-20,7.7320,7.8124
2007-03-21,7.7350,7.8107
2007-03-22,7.7286,7.8093
2007-03-23,7.7290,7.8105
2007-03-26,7.7396,7.8130
2007-03-27,7.7334,7.8130
2007-03-28,7.7318,7.8139
2007-03-29,7.7280,7.8127
2007-03-30,7.7232,7.8137
2007-04-02,7.7296,7.8155
2007-04-03,7.7267,7.8153
2007-04-04,7.7345,7.8166
2007-04-05,7.7250,7.8162
2007-04-06,7.7248,7.8174
2007-04-09,7.7290,7.8175
2007-04-10,7.7304,7.8124
2007-04-11,7.7317,7.8129
2007-04-12,7.7240,7.8143
2007-04-13,7.7222,7.8120
2007-04-16,7.7283,7.8134
2007-04-17,7.7288,7.8117
2007-04-18,7.7208,7.8095
2007-04-19,7.7125,7.8133
2007-04-20,7.7150,7.8137
2007-04-23,7.7280,7.8148
2007-04-24,7.7345,7.8154
2007-04-25,7.7203,7.8180
2007-04-26,7.7300,7.8210
2007-04-27,7.7139,7.8212
2007-04-30,7.7090,7.8212
2007-05-01,7.7065,7.8222
2007-05-02,7.7039,7.8215
2007-05-03,7.7050,7.8211
2007-05-04,7.7035,7.8207
2007-05-07,7.7039,7.8182
2007-05-08,7.6951,7.8180
2007-05-09,7.6941,7.8197
2007-05-10,7.6936,7.8204
2007-05-11,7.6835,7.8201
2007-05-14,7.6719,7.8116
2007-05-15,7.6938,7.8141
2007-05-16,7.6830,7.8185
2007-05-17,7.6730,7.8204
2007-05-18,7.6636,7.8188
2007-05-21,7.6656,7.8215
2007-05-22,7.6560,7.8236
2007-05-23,7.6490,7.8228
2007-05-24,7.6525,7.8233
2007-05-25,7.6527,7.8225
2007-05-28,ND,ND
2007-05-29,7.6514,7.8194
2007-05-30,7.6463,7.8044
2007-05-31,7.6516,7.8087
2007-06-01,7.6483,7.8106
2007-06-04,7.6503,7.8062
2007-06-05,7.6397,7.8086
2007-06-06,7.6377,7.8116
2007-06-07,7.6525,7.8146
2007-06-08,7.6666,7.8157
2007-06-11,7.6680,7.8141
2007-06-12,7.6456,7.8167
2007-06-13,7.6370,7.8148
2007-06-14,7.6420,7.8169
2007-06-15,7.6245,7.8188
2007-06-18,7.6193,7.8171
2007-06-19,7.6175,7.8171
2007-06-20,7.6180,7.8141
2007-06-21,7.6208,7.8123
2007-06-22,7.6220,7.8151
2007-06-25,7.6187,7.8122
2007-06-26,7.6178,7.8126
2007-06-27,7.6210,7.8147
2007-06-28,7.6198,7.8165
2007-06-29,7.6120,7.8184
2007-07-02,7.6055,7.8165
2007-07-03,7.5948,7.8129
2007-07-04,ND,ND
2007-07-05,7.6000,7.8173
2007-07-06,7.6000,7.8175
2007-07-09,7.6055,7.8148
2007-07-10,7.5855,7.8158
2007-07-11,7.5660,7.8160
2007-07-12,7.5690,7.8165
2007-07-13,7.5710,7.8194
2007-07-16,7.5660,7.8202
2007-07-17,7.5651,7.8202
2007-07-18,7.5655,7.8201
2007-07-19,7.5580,7.8209
2007-07-20,7.5727,7.8199
2007-07-23,7.5652,7.8202
2007-07-24,7.5660,7.8218
2007-07-25,7.5596,7.8240
2007-07-26,7.5680,7.8237
2007-07-27,7.5640,7.8242
2007-07-30,7.5700,7.8246
2007-07-31,7.5720,7.8264
2007-08-01,7.5670,7.8285
2007-08-02,7.5733,7.8277
2007-08-03,7.5670,7.8283
2007-08-06,7.5608,7.8289
2007-08-07,7.5700,7.8281
2007-08-08,7.5748,7.8281
2007-08-09,7.5663,7.8235
2007-08-10,7.5698,7.8197
2007-08-13,7.5835,7.8231
2007-08-14,7.5780,7.8224
2007-08-15,7.5850,7.8203
2007-08-16,7.6181,7.8181
2007-08-17,7.5960,7.8137
2007-08-20,7.5850,7.8189
2007-08-21,7.5940,7.8073
2007-08-22,7.5937,7.8081
2007-08-23,7.5867,7.8093
2007-08-24,7.5670,7.8005
2007-08-27,7.5604,7.8035
2007-08-28,7.5535,7.7991
2007-08-29,7.5490,7.8042
2007-08-30,7.5420,7.7975
2007-08-31,7.5462,7.7968
2007-09-03,7.5462,7.7968
2007-09-04,7.5510,7.7947
2007-09-05,7.5540,7.7928
2007-09-06,7.5330,7.7865
2007-09-07,7.5370,7.7871
2007-09-10,7.5235,7.7758
2007-09-11,7.5220,7.7864
2007-09-12,7.5210,7.7878
2007-09-13,7.5110,7.7889
2007-09-14,7.5170,7.7873
2007-09-17,7.5190,7.7875
2007-09-18,7.5220,7.7888
2007-09-19,7.5135,7.7848
2007-09-20,7.5055,7.7828
2007-09-21,7.5000,7.7834
2007-09-24,7.5075,7.7735
2007-09-25,7.5140,7.7681
2007-09-26,7.5160,7.7668
2007-09-27,7.5135,7.7591
2007-09-28,7.4928,7.7689
2007-10-01,7.5158,7.7694
2007-10-02,7.5093,7.7625
2007-10-03,7.5000,7.7588
2007-10-04,7.5098,7.7590
2007-10-05,7.5098,7.7556
2007-10-08,7.5098,7.7556
2007-10-09,7.5095,7.7604
2007-10-10,7.5075,7.7559
2007-10-11,7.5080,7.7555
2007-10-12,7.5090,7.7535
2007-10-15,7.5130,7.7536
2007-10-16,7.5116,7.7540
2007-10-17,7.5156,7.7541
2007-10-18,7.5148,7.7510
2007-10-19,7.5080,7.7504
2007-10-22,7.5075,7.7504
2007-10-23,7.5020,7.7506
2007-10-24,7.4925,7.7509
2007-10-25,7.4800,7.7502
2007-10-26,7.4976,7.7504
2007-10-29,7.4728,7.7511
2007-10-30,7.4720,7.7497
2007-10-31,7.4682,7.7502
2007-11-01,7.4582,7.7573
2007-11-02,7.4580,7.7573
2007-11-05,7.4550,7.7635
2007-11-06,7.4515,7.7630
2007-11-07,7.4420,7.7649
2007-11-08,7.4211,7.7651
2007-11-09,7.4190,7.7817
2007-11-12,ND,ND
2007-11-13,7.4279,7.7870
2007-11-14,7.4250,7.7890
2007-11-15,7.4250,7.7866
2007-11-16,7.4250,7.7819
2007-11-19,7.4313,7.7818
2007-11-20,7.4225,7.7795
2007-11-21,7.4160,7.7808
2007-11-22,7.4160,7.7808
2007-11-23,7.4079,7.7779
2007-11-26,7.3970,7.7844
2007-11-27,7.3865,7.7838
2007-11-28,7.3905,7.7840
2007-11-29,7.3800,7.7885
2007-11-30,7.3850,7.7874
2007-12-03,7.4010,7.7879
2007-12-04,7.4050,7.7911
2007-12-05,7.3900,7.7944
2007-12-06,7.4120,7.7932
2007-12-07,7.4070,7.7938
2007-12-10,7.3900,7.7966
2007-12-11,7.3790,7.7967
2007-12-12,7.3740,7.7984
2007-12-13,7.3700,7.7966
2007-12-14,7.3750,7.7991
2007-12-17,7.3805,7.7974
2007-12-18,7.3741,7.8023
2007-12-19,7.3718,7.8005
2007-12-20,7.3669,7.8010
2007-12-21,7.3680,7.8006
2007-12-24,7.3475,7.8055
2007-12-25,ND,ND
2007-12-26,7.3450,7.8073
2007-12-27,7.3079,7.8012
2007-12-28,7.3040,7.8047
2007-12-31,7.2946,7.7984
2008-01-01,ND,ND
2008-01-02,7.2946,7.8107
2008-01-03,7.2755,7.8047
2008-01-04,7.2695,7.8003
2008-01-07,7.2705,7.8015
2008-01-08,7.2670,7.8016
2008-01-09,7.2625,7.8053
2008-01-10,7.2700,7.8036
2008-01-11,7.2615,7.8052
2008-01-14,7.2526,7.8036
2008-01-15,7.2345,7.7989
2008-01-16,7.2400,7.7998
2008-01-17,7.2245,7.8047
2008-01-18,7.2424,7.8073
2008-01-21,ND,ND
2008-01-22,7.2456,7.8094
2008-01-23,7.2400,7.8075
2008-01-24,7.2228,7.8092
2008-01-25,7.2115,7.8072
2008-01-28,7.1950,7.8081
2008-01-29,7.1965,7.8048
2008-01-30,7.1912,7.8024
2008-01-31,7.1818,7.7961
2008-02-01,7.1845,7.7971
2008-02-04,7.1915,7.7999
2008-02-05,7.1835,7.7985
2008-02-06,7.1830,7.8009
2008-02-07,7.1830,7.8004
2008-02-08,7.1830,7.8004
2008-02-11,7.1905,7.7968
2008-02-12,7.1840,7.7977
2008-02-13,7.1973,7.7998
2008-02-14,7.1880,7.7995
2008-02-15,7.1780,7.8004
2008-02-18,ND,ND
2008-02-19,7.1485,7.8012
2008-02-20,7.1425,7.8007
2008-02-21,7.1395,7.7990
2008-02-22,7.1400,7.7968
2008-02-25,7.1522,7.7971
2008-02-26,7.1580,7.7936
2008-02-27,7.1400,7.7842
2008-02-28,7.1100,7.7821
2008-02-29,7.1115,7.7807
2008-03-03,7.1035,7.7841
2008-03-04,7.1060,7.7829
2008-03-05,7.1075,7.7897
2008-03-06,7.1059,7.7885
2008-03-07,7.1110,7.7857
2008-03-10,7.1060,7.7887
2008-03-11,7.1027,7.7879
2008-03-12,7.1010,7.7872
2008-03-13,7.0900,7.7858
2008-03-14,7.0890,7.7829
2008-03-17,7.0830,7.7642
2008-03-18,7.0795,7.7702
2008-03-19,7.0660,7.7720
2008-03-20,7.0520,7.7774
2008-03-21,7.0515,7.7770
2008-03-24,7.0550,7.7787
2008-03-25,7.0440,7.7782
2008-03-26,7.0290,7.7820
